Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,35006,Ichtegem,1,14068
202106,Gemeente,35029,De Haan,2,12789
202106,Gemeente,36008,Izegem,9,28554
202106,Gemeente,36011,Lichtervelde,0,8962
202106,Gemeente,36015,Roeselare,76,63763
202106,Gemeente,41002,Aalst,116,87978
202106,Gemeente,42004,Buggenhout,6,14689
202106,Gemeente,42011,Lebbeke,4,19560
202106,Gemeente,42023,Waasmunster,3,10912
202106,Gemeente,43014,Sint-Laureins,1,6919
202106,Gemeente,44012,De Pinte,3,10990
202106,Gemeente,44013,Destelbergen,0,18683
202106,Gemeente,44040,Melle,1,11782
202106,Gemeente,44052,Oosterzele,0,13740
202106,Gemeente,44073,Wachtebeke,2,7769
202106,Gemeente,45059,Brakel,1,14762
202106,Gemeente,46003,Beveren,21,49062
202106,Gemeente,51004,Aat,12,29571
202106,Gemeente,51067,Edingen (vanaf 2019),4,14155
202106,Gemeente,51069,Lessen (vanaf 2019),5,18682
202106,Gemeente,52011,Charleroi,291,201837
202106,Gemeente,52012,Châtelet,17,35567
202106,Gemeente,52055,Pont-à-Celles,4,17337
202106,Gemeente,53014,Boussu,6,19842
202106,Gemeente,53053,Bergen,106,95705
202106,Gemeente,55004,'S Gravenbrakel,6,22290
202106,Gemeente,55035,Le Roeulx,3,8804
202106,Gemeente,56022,Erquelinnes,5,10013
202106,Gemeente,56029,Froidchapelle,0,4011
202106,Gemeente,56049,Merbes-le-Château,0,4228
202106,Gemeente,56078,Thuin,5,14787
202106,Gemeente,57081,Doornik,46,68795
202106,Gemeente,57093,Brunehaut,0,8074
202106,Gemeente,57095,Mont-De-L'Enclus,0,3791
202106,Gemeente,58001,La Louvière (vanaf 2019),137,80944
202106,Gemeente,58002,Binche (vanaf 2019),8,33416
202106,Gemeente,61019,Ferrières,0,5023
202106,Gemeente,61041,Modave,0,4220
202106,Gemeente,61048,Ouffet,0,2801
202106,Gemeente,62003,Ans,41,28503
202106,Gemeente,62006,Awans,7,9207
202106,Gemeente,62009,Aywaille,2,12607
202106,Gemeente,62022,Chaudfontaine,13,20807
202106,Gemeente,62093,Saint-Nicolas (Luik),38,24268
202106,Gemeente,62099,Soumagne,9,17200
202106,Gemeente,62121,Neupré,0,9938
202106,Gemeente,63004,Baelen,2,4436
202106,Gemeente,63012,Büllingen,1,5455
202106,Gemeente,63023,Eupen,78,19900
202106,Gemeente,63045,Lierneux,0,3564
202106,Gemeente,63058,Pepinster,6,9615
202106,Gemeente,64023,Donceel,0,3108
202106,Gemeente,64074,Borgworm,2,15255
202106,Gemeente,71002,As,1,8279
202106,Gemeente,71004,Beringen,12,46882
202106,Gemeente,11005,Boom,12,18799
202106,Gemeente,11007,Borsbeek,16,11077
202106,Gemeente,11037,Rumst,0,15146
202106,Gemeente,11054,Zandhoven,2,13124
202106,Gemeente,11057,Malle,5,15620
202106,Gemeente,12007,Bornem,0,21428
202106,Gemeente,12009,Duffel,2,17714
202106,Gemeente,13002,Baarle-Hertog,0,2935
202106,Gemeente,13029,Olen,0,12600
202106,Gemeente,13044,Vorselaar,1,7995
202106,Gemeente,21004,Brussel,702,186916
202106,Gemeente,21007,Vorst,186,56281
202106,Gemeente,23003,Beersel,4,25756
202106,Gemeente,23016,Dilbeek,3,43732
202106,Gemeente,23023,Galmaarden,0,8814
202106,Gemeente,23024,Gooik,4,9230
202106,Gemeente,23050,Meise,2,19790
202106,Gemeente,23052,Merchtem,11,17154
202106,Gemeente,23086,Ternat,0,16144
202106,Gemeente,23097,Roosdaal,3,11688
202106,Gemeente,23098,Drogenbos,0,5699
202106,Gemeente,24001,Aarschot,9,30281
202106,Gemeente,24016,Boutersem,0,8249
202106,Gemeente,24041,Hoegaarden,1,6843
202106,Gemeente,24054,Kortenaken,0,7898
202106,Gemeente,24055,Kortenberg,0,20425
